,Normal_Distribution_AD,Skewness,Kurtosis
x-axis__sum_values,False,0.04864546319771911,-0.34404297576703335
x-axis__median,False,0.16134368752261832,0.02496548078683647
x-axis__mean,False,0.04626611784688515,-0.346947999383596
x-axis__length,False,-21.816967241911506,514.4870816496939
x-axis__standard_deviation,False,0.5283443816466374,-0.15591030999849131
x-axis__variance,False,1.6753805054546145,2.5031813608010998
x-axis__root_mean_square,False,0.44604460938067364,-0.7947306438149777
x-axis__maximum,False,-0.17869579374665576,-0.7982122616110163
x-axis__absolute_maximum,False,-0.3084038504935435,-1.1858261572828992
x-axis__minimum,False,-0.14968865821042587,-0.5248748057952639
y-axis__sum_values,False,-2.0573474449715916,3.9858092608372813
y-axis__median,False,-1.912658222949187,3.985474423609957
y-axis__mean,False,-2.0694639282662783,4.03355010764647
y-axis__length,False,-21.816967241911506,514.4870816496939
y-axis__standard_deviation,False,0.11027584583556371,-0.5097894008393964
y-axis__variance,False,1.0307949773215024,0.0029794708772215017
y-axis__root_mean_square,False,-1.408021677763598,2.034741956294365
y-axis__maximum,False,-2.270237884673166,5.021927815175
y-axis__absolute_maximum,False,-2.3082696383138437,4.8693155888318085
y-axis__minimum,False,-0.6942789343956814,-0.38311301861981795
z-axis__sum_values,False,0.6829710444512399,3.7581016904334206
z-axis__median,False,0.8709693051808046,3.406693411222424
z-axis__mean,False,0.6808995026562253,3.741001033949038
z-axis__length,False,-21.816967241911506,514.4870816496939
z-axis__standard_deviation,False,0.34471740264912704,0.41266368527147046
z-axis__variance,False,1.9060594958561676,4.419182329399866
z-axis__root_mean_square,False,0.6564260186983065,0.30507109533587773
z-axis__maximum,False,-0.5692672586749894,0.03124444338178467
z-axis__absolute_maximum,False,-0.4489539497232762,-0.2949661121962732
z-axis__minimum,False,0.23249951935436114,0.2638346117068924
x-axis__fft_peak,False,0.782661142895173,-0.44799390460728894
x-axis__hjorth_mobility,False,-0.11892714219336421,0.29650124838683833
x-axis__hjorth_complexity,False,9.050247054211447,131.80907348742062
x-axis__rolling_mean,False,0.04584774808913027,-0.3434355083517202
x-axis__rolling_std,False,0.5083409776921634,-0.1935406171787739
x-axis__zero_crossing_rate,False,0.12355876546119099,-0.5648705349880667
x-axis__spectral_energy,False,1.740584279922132,2.916562375294056
x-axis__spectral_entropy,False,-1.1169296432199256,2.1183182563293856
x-axis__iqr,False,0.9455363574222729,0.3391624648676528
x-axis__coeff_var,False,70.21107966175744,5264.189185807972
x-axis__energy,False,1.101639608954722,0.18214500896290708
x-axis_MAD,False,0.6269368449572824,-0.14218050945588478
x-axis_range,False,-0.0662904340934065,-0.42005046336445107
x-axis_kurtosis,False,14.039389583100544,450.1479736473549
x-axis_skewness,False,-0.7210489225874718,13.546625751126403
y-axis__fft_peak,False,-1.3273744174652937,0.5970289132667856
y-axis__hjorth_mobility,False,-0.03882075840485723,2.008624569835346
y-axis__hjorth_complexity,False,10.760506734504325,171.0539105088464
y-axis__rolling_mean,False,-2.066063448781317,4.0246824737530265
y-axis__rolling_std,False,0.30223274208190953,-0.5493520814197765
y-axis__zero_crossing_rate,False,1.0812828417983114,0.5651295848656215
y-axis__spectral_energy,False,1.0661734881263516,0.14541900466685442
y-axis__spectral_entropy,False,-0.7582707656917667,0.32810142806232623
y-axis__iqr,False,0.5886315584979417,-0.4839141905044375
y-axis__coeff_var,False,-8.076576085090828,1476.7087074444191
y-axis__energy,False,-0.5073723559683263,0.2530594744790293
y-axis_MAD,False,0.24291500525064638,-0.5881729659080195
y-axis_range,False,-0.28258400566064884,0.014011408147480697
y-axis_kurtosis,False,11.815684309594179,208.07654153068435
y-axis_skewness,False,-0.034954074289909334,15.386840862011002
z-axis__fft_peak,False,2.6090674238815073,7.92312533998368
z-axis__hjorth_mobility,False,-1.1270004105990623,2.6696791031052314
z-axis__hjorth_complexity,False,9.72454869968726,165.6003312921981
z-axis__rolling_mean,False,0.6785194509914689,3.716469573911926
z-axis__rolling_std,False,0.49360575185796357,0.3034539167757826
z-axis__zero_crossing_rate,False,-0.8121641582661789,0.015915504484987686
z-axis__spectral_energy,False,1.9064020064177865,4.378163329525719
z-axis__spectral_entropy,False,-1.4236279576614859,4.939971092381869
z-axis__iqr,False,1.2820902516039383,2.2382278505054156
z-axis__coeff_var,False,-56.98276365808654,4120.97596761352
z-axis__energy,False,1.632032817340293,2.6904188300149503
z-axis_MAD,False,0.6559961972629831,0.8239342066446111
z-axis_range,False,-0.3104558418239568,-0.2968724355785075
z-axis_kurtosis,False,7.186379716648812,126.44307033633595
z-axis_skewness,False,-0.082533492409075,1.9441375919350916
sma,False,0.9536245626738057,0.461435978764988
corr_xy,False,-0.26665953663849656,-0.5275360125106827
corr_xz,False,0.05277900748251985,-0.47060876633030135
corr_yz,False,-0.3658848114107483,-0.10664164753087535
jerk_x_mean,False,0.3462660045144363,7.3529297821071085
jerk_x_std,False,0.22032550241202145,-0.5981379517702057
jerk_y_mean,False,-0.267725821146487,4.589253934831425
jerk_y_std,False,0.1839874278637632,-0.040072980009075554
jerk_z_mean,False,1.1905896997353551,27.31798621200566
jerk_z_std,False,0.26256098086567303,-0.1421236885612891
